Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Женщины,448.0,464.0,493.0,385.0,471.0,381.0,330.0,332.0,336.0,305.0
Мужчины,413.0,262.0,478.0,381.0,384.0,365.0,358.0,339.0,292.0,268.0
56,,,,,,,,,,
Всего,788.0,862.0,728.0,975.0,770.0,844.0,731.0,671.0,710.0,640.0
Женщины,459.0,446.0,463.0,498.0,386.0,459.0,375.0,323.0,392.0,342.0
Мужчины,329.0,416.0,265.0,477.0,384.0,385.0,356.0,348.0,318.0,298.0
57,,,,,,,,,,
Всего,733.0,786.0,847.0,715.0,957.0,763.0,814.0,725.0,670.0,704.0
Женщины,425.0,460.0,438.0,452.0,498.0,382.0,444.0,372.0,358.0,390.0
Мужчины,308.0,326.0,409.0,263.0,459.0,381.0,370.0,353.0,312.0,314.0
58,,,,,,,,,,
Всего,807.0,728.0,790.0,850.0,699.0,950.0,750.0,817.0,714.0,676.0
Женщины,455.0,424.0,457.0,448.0,446.0,493.0,374.0,445.0,378.0,371.0
Мужчины,352.0,304.0,333.0,402.0,253.0,457.0,376.0,372.0,336.0,305.0
59,,,,,,,,,,
Всего,734.0,803.0,718.0,787.0,834.0,677.0,920.0,749.0,761.0,702.0
Женщины,430.0,455.0,424.0,457.0,439.0,434.0,483.0,380.0,449.0,377.0
Мужчины,304.0,348.0,294.0,330.0,395.0,243.0,437.0,369.0,312.0,325.0
