Волховский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Мужчины,892.0,888.0,917.0,872.0,705.0,627.0,527.0,573.0,366.0,352.0
29,,,,,,,,,,
Всего,1604.0,1598.0,1647.0,1588.0,1597.0,1354.0,1216.0,1054.0,791.0,701.0
Женщины,729.0,721.0,771.0,684.0,722.0,669.0,587.0,528.0,365.0,337.0
Мужчины,875.0,877.0,876.0,904.0,875.0,685.0,629.0,526.0,426.0,364.0
25-29,,,,,,,,,,
Всего,8208.0,8028.0,7573.0,6925.0,6270.0,5478.0,4963.0,4656.0,3590.0,3396.0
Женщины,3720.0,3726.0,3534.0,3265.0,2944.0,2548.0,2247.0,2039.0,1691.0,1594.0
Мужчины,4488.0,4302.0,4039.0,3660.0,3326.0,2930.0,2716.0,2617.0,1899.0,1802.0
16-29,,,,,,,,,,
Всего,17013.0,16065.0,15126.0,14127.0,13214.0,12262.0,11830.0,11535.0,9817.0,9720.0
Женщины,7745.0,7389.0,6970.0,6476.0,6082.0,5673.0,5467.0,5320.0,4704.0,4694.0
Мужчины,9268.0,8676.0,8156.0,7651.0,7132.0,6589.0,6363.0,6215.0,5113.0,5026.0
30,,,,,,,,,,
Всего,1539.0,1588.0,1565.0,1625.0,1565.0,1569.0,1363.0,1202.0,984.0,786.0
Женщины,651.0,728.0,702.0,764.0,676.0,703.0,666.0,577.0,472.0,361.0
Мужчины,888.0,860.0,863.0,861.0,889.0,866.0,697.0,625.0,512.0,425.0
до 30,,,,,,,,,,
Всего,,,,,,,,,20550.0,20257.0
Женщины,,,,,,,,,9917.0,9802.0
Мужчины,,,,,,,,,10633.0,10455.0
31,,,,,,,,,,
Всего,1553.0,1513.0,1532.0,1534.0,1605.0,1547.0,1565.0,1363.0,1159.0,976.0
Женщины,734.0,649.0,697.0,680.0,752.0,667.0,699.0,662.0,563.0,462.0
Мужчины,819.0,864.0,835.0,854.0,853.0,880.0,866.0,701.0,596.0,514.0
32,,,,,,,,,,
Всего,1425.0,1528.0,1490.0,1513.0,1497.0,1595.0,1514.0,1548.0,1273.0,1144.0
Женщины,702.0,729.0,632.0,687.0,672.0,744.0,654.0,698.0,597.0,557.0
Мужчины,723.0,799.0,858.0,826.0,825.0,851.0,860.0,850.0,676.0,587.0
33,,,,,,,,,,
Всего,1509.0,1400.0,1507.0,1457.0,1482.0,1490.0,1585.0,1500.0,1382.0,1254.0
Женщины,701.0,697.0,707.0,609.0,669.0,660.0,735.0,642.0,656.0,579.0
Мужчины,808.0,703.0,800.0,848.0,813.0,830.0,850.0,858.0,726.0,675.0
34,,,,,,,,,,
Всего,1346.0,1481.0,1372.0,1486.0,1437.0,1466.0,1505.0,1555.0,1403.0,1361.0
Женщины,660.0,690.0,686.0,701.0,599.0,663.0,669.0,710.0,633.0,644.0
Мужчины,686.0,791.0,686.0,785.0,838.0,803.0,836.0,845.0,770.0,717.0
30-34,,,,,,,,,,
Всего,7372.0,7510.0,7466.0,7615.0,7586.0,7667.0,7532.0,7168.0,6201.0,5521.0
Женщины,3448.0,3493.0,3424.0,3441.0,3368.0,3437.0,3423.0,3289.0,2921.0,2603.0
Мужчины,3924.0,4017.0,4042.0,4174.0,4218.0,4230.0,4109.0,3879.0,3280.0,2918.0
35,,,,,,,,,,
Всего,1503.0,1329.0,1464.0,1345.0,1473.0,1418.0,1430.0,1486.0,1501.0,1386.0
Женщины,684.0,655.0,687.0,672.0,696.0,603.0,644.0,665.0,685.0,633.0
Мужчины,819.0,674.0,777.0,673.0,777.0,815.0,786.0,821.0,816.0,753.0
36,,,,,,,,,,
Всего,1411.0,1480.0,1308.0,1445.0,1312.0,1468.0,1418.0,1417.0,1475.0,1509.0
Женщины,684.0,680.0,654.0,671.0,656.0,694.0,611.0,645.0,712.0,685.0
Мужчины,727.0,800.0,654.0,774.0,656.0,774.0,807.0,772.0,763.0,824.0
37,,,,,,,,,,
Всего,1349.0,1390.0,1461.0,1300.0,1420.0,1298.0,1448.0,1420.0,1347.0,1455.0
Женщины,668.0,680.0,686.0,645.0,658.0,648.0,680.0,604.0,645.0,710.0
Мужчины,681.0,710.0,775.0,655.0,762.0,650.0,768.0,816.0,702.0,745.0
38,,,,,,,,,,
Всего,1465.0,1328.0,1381.0,1439.0,1279.0,1411.0,1289.0,1437.0,1390.0,1330.0
Женщины,700.0,665.0,676.0,681.0,637.0,659.0,637.0,671.0,673.0,647.0
Мужчины,765.0,663.0,705.0,758.0,642.0,752.0,652.0,766.0,717.0,683.0
39,,,,,,,,,,
Всего,1398.0,1445.0,1318.0,1370.0,1435.0,1253.0,1399.0,1271.0,1254.0,1366.0
Женщины,725.0,699.0,662.0,677.0,676.0,623.0,652.0,630.0,608.0,660.0
Мужчины,673.0,746.0,656.0,693.0,759.0,630.0,747.0,641.0,646.0,706.0
30-39,,,,,,,,,,
Всего,,,,,,,14516.0,14199.0,13168.0,12567.0
Женщины,,,,,,,6647.0,6504.0,6244.0,5938.0
Мужчины,,,,,,,7869.0,7695.0,6924.0,6629.0
35-39,,,,,,,,,,
Всего,7126.0,6972.0,6932.0,6899.0,6919.0,6848.0,6984.0,7031.0,6967.0,7046.0
Женщины,3461.0,3379.0,3365.0,3346.0,3323.0,3227.0,3224.0,3215.0,3323.0,3335.0
Мужчины,3665.0,3593.0,3567.0,3553.0,3596.0,3621.0,3760.0,3816.0,3644.0,3711.0
40,,,,,,,,,,
Всего,1355.0,1374.0,1432.0,1302.0,1348.0,1411.0,1243.0,1413.0,1263.0,1240.0
Женщины,651.0,720.0,690.0,661.0,665.0,664.0,617.0,664.0,630.0,595.0
Мужчины,704.0,654.0,742.0,641.0,683.0,747.0,626.0,749.0,633.0,645.0
41,,,,,,,,,,
Всего,1295.0,1335.0,1369.0,1420.0,1281.0,1354.0,1398.0,1224.0,1351.0,1241.0
Женщины,630.0,651.0,716.0,689.0,650.0,665.0,660.0,614.0,674.0,621.0
Мужчины,665.0,684.0,653.0,731.0,631.0,689.0,738.0,610.0,677.0,620.0
42,,,,,,,,,,
Всего,1300.0,1278.0,1328.0,1364.0,1425.0,1285.0,1338.0,1374.0,1189.0,1332.0
Женщины,650.0,627.0,648.0,713.0,690.0,658.0,662.0,647.0,601.0,664.0
Мужчины,650.0,651.0,680.0,651.0,735.0,627.0,676.0,727.0,588.0,668.0
43,,,,,,,,,,
Всего,1252.0,1275.0,1273.0,1324.0,1355.0,1405.0,1275.0,1341.0,1307.0,1164.0
Женщины,587.0,647.0,615.0,645.0,705.0,680.0,658.0,668.0,666.0,597.0
Мужчины,665.0,628.0,658.0,679.0,650.0,725.0,617.0,673.0,641.0,567.0
44,,,,,,,,,,
Всего,1157.0,1227.0,1275.0,1264.0,1316.0,1348.0,1383.0,1259.0,1203.0,1308.0
Женщины,532.0,579.0,650.0,613.0,642.0,708.0,674.0,657.0,610.0,668.0
Мужчины,625.0,648.0,625.0,651.0,674.0,640.0,709.0,602.0,593.0,640.0
40-44,,,,,,,,,,
Всего,6359.0,6489.0,6677.0,6674.0,6725.0,6803.0,6637.0,6611.0,6313.0,6285.0
Женщины,3050.0,3224.0,3319.0,3321.0,3352.0,3375.0,3271.0,3250.0,3181.0,3145.0
Мужчины,3309.0,3265.0,3358.0,3353.0,3373.0,3428.0,3366.0,3361.0,3132.0,3140.0
45,,,,,,,,,,
Всего,1144.0,1133.0,1213.0,1267.0,1256.0,1294.0,1354.0,1372.0,1308.0,1184.0
Женщины,548.0,528.0,576.0,646.0,609.0,629.0,706.0,662.0,643.0,595.0
Мужчины,596.0,605.0,637.0,621.0,647.0,665.0,648.0,710.0,665.0,589.0
46,,,,,,,,,,
Всего,1112.0,1126.0,1131.0,1201.0,1259.0,1236.0,1305.0,1351.0,1283.0,1302.0
Женщины,564.0,545.0,531.0,574.0,642.0,605.0,634.0,709.0,655.0,647.0
Мужчины,548.0,581.0,600.0,627.0,617.0,631.0,671.0,642.0,628.0,655.0
47,,,,,,,,,,
Всего,1195.0,1083.0,1111.0,1127.0,1184.0,1259.0,1236.0,1309.0,1266.0,1266.0
Женщины,617.0,559.0,544.0,529.0,570.0,640.0,595.0,639.0,661.0,653.0
Мужчины,578.0,524.0,567.0,598.0,614.0,619.0,641.0,670.0,605.0,613.0
48,,,,,,,,,,
Всего,1191.0,1171.0,1073.0,1099.0,1109.0,1180.0,1245.0,1220.0,1212.0,1251.0
Женщины,592.0,612.0,556.0,534.0,520.0,570.0,633.0,588.0,632.0,662.0
Мужчины,599.0,559.0,517.0,565.0,589.0,610.0,612.0,632.0,580.0,589.0
49,,,,,,,,,,
Всего,1307.0,1160.0,1152.0,1055.0,1096.0,1101.0,1167.0,1227.0,1131.0,1200.0
Женщины,678.0,585.0,600.0,552.0,536.0,522.0,563.0,623.0,583.0,629.0
Мужчины,629.0,575.0,552.0,503.0,560.0,579.0,604.0,604.0,548.0,571.0
15-49,,,,,,,,,,
Всего,44535.0,43424.0,42623.0,41840.0,41135.0,40501.0,40144.0,39621.0,36221.0,35516.0
Женщины,21038.0,20678.0,20252.0,19794.0,19386.0,19094.0,18938.0,18678.0,17645.0,17336.0
Мужчины,23497.0,22746.0,22371.0,22046.0,21749.0,21407.0,21206.0,20943.0,18576.0,18180.0
40-49,,,,,,,,,,
Всего,,,,,,,12944.0,13090.0,12513.0,12488.0
Женщины,,,,,,,6402.0,6471.0,6355.0,6331.0
Мужчины,,,,,,,6542.0,6619.0,6158.0,6157.0
45-49,,,,,,,,,,
Всего,5949.0,5673.0,5680.0,5749.0,5904.0,6070.0,6307.0,6479.0,6200.0,6203.0
Женщины,2999.0,2829.0,2807.0,2835.0,2877.0,2966.0,3131.0,3221.0,3174.0,3186.0
Мужчины,2950.0,2844.0,2873.0,2914.0,3027.0,3104.0,3176.0,3258.0,3026.0,3017.0
50,,,,,,,,,,
Всего,1405.0,1283.0,1147.0,1148.0,1051.0,1097.0,1098.0,1155.0,1172.0,1114.0
Женщины,717.0,672.0,579.0,597.0,550.0,536.0,520.0,562.0,606.0,577.0
Мужчины,688.0,611.0,568.0,551.0,501.0,561.0,578.0,593.0,566.0,537.0
51,,,,,,,,,,
Всего,1372.0,1373.0,1279.0,1127.0,1144.0,1030.0,1077.0,1090.0,1164.0,1149.0
Женщины,734.0,707.0,661.0,571.0,595.0,542.0,531.0,521.0,582.0,596.0
Мужчины,638.0,666.0,618.0,556.0,549.0,488.0,546.0,569.0,582.0,553.0
52,,,,,,,,,,
Всего,1454.0,1340.0,1362.0,1271.0,1111.0,1132.0,1020.0,1065.0,1072.0,1160.0
Женщины,810.0,730.0,703.0,661.0,561.0,591.0,538.0,527.0,542.0,580.0
Мужчины,644.0,610.0,659.0,610.0,550.0,541.0,482.0,538.0,530.0,580.0
53,,,,,,,,,,
Всего,1543.0,1419.0,1327.0,1339.0,1258.0,1095.0,1114.0,1011.0,1019.0,1060.0
Женщины,910.0,801.0,729.0,695.0,655.0,548.0,591.0,535.0,523.0,538.0
Мужчины,633.0,618.0,598.0,644.0,603.0,547.0,523.0,476.0,496.0,522.0
54,,,,,,,,,,
Всего,1580.0,1495.0,1403.0,1311.0,1341.0,1248.0,1084.0,1102.0,1000.0,1010.0
Женщины,850.0,896.0,800.0,727.0,703.0,649.0,551.0,591.0,536.0,517.0
Мужчины,730.0,599.0,603.0,584.0,638.0,599.0,533.0,511.0,464.0,493.0
50-54,,,,,,,,,,
Всего,7354.0,6910.0,6518.0,6196.0,5905.0,5602.0,5393.0,5423.0,5427.0,5493.0
Женщины,4021.0,3806.0,3472.0,3251.0,3064.0,2866.0,2731.0,2736.0,2789.0,2808.0
Мужчины,3333.0,3104.0,3046.0,2945.0,2841.0,2736.0,2662.0,2687.0,2638.0,2685.0
55,,,,,,,,,,
Всего,1452.0,1535.0,1469.0,1399.0,1302.0,1323.0,1240.0,1079.0,963.0,996.0
Женщины,826.0,839.0,886.0,805.0,719.0,689.0,650.0,550.0,518.0,541.0
Мужчины,626.0,696.0,583.0,594.0,583.0,634.0,590.0,529.0,445.0,455.0
56,,,,,,,,,,
Всего,1455.0,1406.0,1516.0,1446.0,1395.0,1285.0,1300.0,1217.0,1149.0,944.0
Женщины,809.0,811.0,826.0,880.0,804.0,713.0,681.0,641.0,625.0,516.0
Мужчины,646.0,595.0,690.0,566.0,591.0,572.0,619.0,576.0,524.0,428.0
57,,,,,,,,,,
Всего,1432.0,1415.0,1395.0,1505.0,1434.0,1381.0,1269.0,1278.0,1109.0,1129.0
Женщины,819.0,796.0,806.0,824.0,876.0,801.0,703.0,678.0,593.0,619.0
